,Unnamed: 0,Unnamed: 0.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,대학원출신,인건비총액,학생소속대학명_간호대학,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_디자인조형학부,학생소속대학명_문과대학,학생소속대학명_미디어학부,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_사범대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생소속대학명_정보보호학부,학생교육부계열_공학,학생교육부계열_예·체능,학생교육부계열_의학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_군위탁생,입학과정_복수학위제,입학과정_외국인,입학과정_정원내신입학,입학과정_정원내재입학,입학과정_정원외-계약학과,입학과정_정원외북탈민,입학과정_편입학석사(2학기),입학과정_편입학석사(3학기),입학과정_학·석사연계과정,입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교
10,10,13,AAFr0100frLy4P5+D2u4Uh0o,컴퓨터학과,소프트웨어전공,AAHW/nJYEE7Q/Lg+jCWZCS2V,KOR,석사과정,2020.0,1R,19940806,2020,1R,4.33,4,49.0,49.5,,34290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
11,11,15,AAGDyJgEPT0yzvWi+3dctSZT,통일보건의학협동과정,통일보건의학전공,AAEkZqAWrgVCeavjwphRmSTw,KOR,석사과정,2020.0,1R,19941217,2020,1R,4.22,4,45.0,47.0,,1624000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12,12,16,AAGIRoXU1BMA3WcJPjam/q3v,컴퓨터학과,소프트웨어전공,AAENNQ2vzOb2Xbzdp2Guy+Sb,KOR,석사과정,2020.0,1R,19920819,2020,1R,3.72,4,47.5,48.3,,30888000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,13,17,AAGMDmxW2xe03AUOwOFxIKPZ,국어국문학과,한국어문화교육학,AAHYvfgFUDoHHKEIqer2mYQR,KOR,석사과정,2019.0,1R,19911024,2020,1R,4.35,4,40.0,45.0,,19800000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
14,14,18,AAH+wroc8pT9R988oRba3x7Y,국어국문학과,고전문학전공,AAGLaeSTsCw4zS02lNT3dm4I,CHN,석사과정,2019.0,1R,19921009,2020,1R,3.96,4,90.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,15,20,AAGWkpSSDy8lcGESkIEi1cox,국어국문학과,한국어문화교육학,AAFYGqx7PBlD1q4z0UyBp9nH,KOR,석사과정,2019.0,1R,19920130,2020,1R,4.38,4,40.0,45.0,,23503149.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,16,21,AAHVqBk9xJW8U6rd0B/uUAQJ,컴퓨터학과,소프트웨어전공,AAENNQ2vzOb2Xbzdp2Guy+Sb,KOR,석사과정,2020.0,1R,19950301,2020,1R,4.38,4,45.4,45.3,,32574000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,17,22,AAE7b43o5SYSYLCQv/cWOrxv,국어국문학과,고전문학전공,AAEqhKHlY3Zx6kIkhNVGJhuT,KOR,석사과정,2019.0,1R,19870910,2020,1R,4.4,4,44.5,44.4,,5034200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,18,24,AAGxy4gqrQZ97kbZ4+rymN33,법학과,지적재산권법전공,AAGxdRvbQkm+4SDTFodzGz3y,KOR,석사과정,2019.0,1R,19810421,2020,1R,4.5,4,36.0,53.3,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,19,26,AAGHcNRp9qYe45MseOG0iGkT,산업경영공학과,산업경영공학전공,AAG3lR75Qdq4S6hdfCFvhzEN,KOR,석사과정,2020.0,1R,19850124,2020,1R,4.22,4,40.0,38.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
20,20,27,AAHBFTWd2XqftIC4W3DzT1k+,국어국문학과,고전문학전공,AAGLaeSTsCw4zS02lNT3dm4I,KOR,석사과정,2020.0,1R,19860528,2020,1R,4.32,4,44.0,46.0,,1000000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
21,21,29,AAEc5wLq7U8GiFAHj8zZlJnb,전기전자공학과,제어·로봇·시스템,AAFyitzZ9EL1iIdqOl+j5zOd,KOR,석사과정,2020.0,1R,19911128,2020,1R,4.5,4,49.6,49.8,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
22,22,30,AAGT5TNt9UZq0yHDmG6kfiD6,전기전자공학과,반도체 및 나노전공,AAEClPAQjORZKayEf40sZEcD,KOR,석사과정,2020.0,1R,19910411,2020,1R,4.25,4,47.7,45.2,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23,23,31,AAFKugVryxdnmmWaTrImhRLJ,심리학과,문화및사회심리학,AAGGefnniz3rxVKy0CwzsOBM,KOR,석사과정,2018.0,1R,19921005,2020,1R,4.19,4,33.0,57.3,,7128000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,24,32,AAFkLVGcflzfAEZN4UdjiyPB,의학과,정신건강의학전공,AAE6pF0u9su1DwbbZ4mDUojQ,KOR,석사과정,2019.0,1R,19871105,2020,1R,4.11,4,33.0,44.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
25,25,33,AAG7FBlTY5d9M6/8fkxrCi5t,국어국문학과,한문학전공,AAESdTOWxCKs1NvnjEHOZSZR,KOR,석사과정,2020.0,1R,19930210,2020,1R,4.28,4,45.0,44.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
