,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,학번,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,인건비총액,학생소속대학명_간호대학,학생소속대학명_경영대학,학생소속대학명_공과대학,학생소속대학명_문과대학,학생소속대학명_미디어학부,학생소속대학명_법과대학,학생소속대학명_보건과학대학,학생소속대학명_사범대학,학생소속대학명_생명과학대학,학생소속대학명_심리학부,학생소속대학명_의과대학,학생소속대학명_이과대학,학생소속대학명_정경대학,학생소속대학명_정보대학,학생교육부계열_공학,학생교육부계열_예·체능,학생교육부계열_의학,학생교육부계열_인문·사회,학생교육부계열_자연과학,성별_1,성별_2,입학과정_군위탁생,입학과정_외국인,입학과정_정원내신입학,입학과정_정원외-계약학과,입학과정_편입학박사(3학기),입학과정_학연산협동과정,학적_졸업,학부출신_자교,학부출신_타교,대학원출신_자교,대학원출신_타교,대학원출신_nan,졸업에걸린기간
49,49,49,220,AAErGRgOtu9Ptz2L/Lw6inS+,언론학과,언론학전공,AAHf/2Ed9AowQWztpeK/cBCk,KOR,박사과정,2018,2R,19720717,2020,1R,4.5,5,39,44,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,8
50,50,50,222,AAGU7GcMua3J5q+yvqWZ9b+6,환경생태공학과,생태학및환경생물학전공,AAGsK/9hQ+mV6UGMkyQ134NO,KOR,박사과정,2018,1R,19900324,2020,1R,4.38,4,46.33,47.33,128349868,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,8
51,51,51,227,AAEkzogpxJ4QLZEgzET00EOv,의학과,정형외과학전공,AAEMr7pBQKSpSRLIBENRldyS,KOR,박사과정,2017,2R,19811103,2020,1R,4.08,5,45.01,45.67,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,10
52,52,52,228,AAHPZCFd43qF9ZbZJnSAa5fD,컴퓨터·전파통신공학과,컴퓨터학전공,AAGTpbn2hlhEnXEkEGBrHBWk,KOR,박사과정,2018,1R,19891108,2020,1R,4.09,4,48,48,125370000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,8
53,53,53,254,AAF0byzS7TrMVdUNgirxohRV,영어교육학과,영어교육학전공,AAHZ1/+YlSFa4MiNN0kd+7+w,CHN,박사과정,2018,2R,19860825,2020,1R,4.29,4,88.5,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,7
54,54,54,260,AAG7zrDLv0XRBKoSFzsHhkQB,중일어문학과,일본문학·문화전공,AAGpyzWvfjqDOtVJNzZzEjC5,KOR,박사과정,2018,1R,19860823,2020,1R,4.5,4,50,50,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,8
55,55,55,265,AAFIOoat6wgOjuS8guH4MT9t,간호학과,간호과학,AAE8UXP/pgNTZf3xH+YR2Wrp,KOR,박사과정,2019,1R,19880408,2020,1R,4.38,4,58,40,7050000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,6
56,56,56,268,AAG+DaM5dgo36597bPTEu2Y4,국어국문학과,고전문학전공,AAGLaeSTsCw4zS02lNT3dm4I,KOR,박사과정,2017,2R,19870720,2020,1R,4.42,4,45,44,44634200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,9
57,57,57,272,AAGLMoV+CGy0b6fNt9GLrRNY,보건학협동과정,보건정책및병원관리전공,AAHqHevfy0EAKXVwGApq3ljU,KOR,박사과정,2017,1R,19850105,2020,1R,4.04,4,38,38,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,10
58,58,58,275,AAGtZH3zKdAtciswndl9pWDW,바이오마이크로시스템기술협동과정,의공학전공,AAEpHiaFK56xDZ2xZgm7yKh4,KOR,박사과정,2017,1R,19870904,2020,1R,3.88,4,57,38.33,114915000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,10
